Lat,Lon,Con,,
6.04415,80.409845,1,0,
6.045168,80.409382,"2,3",1,
6.04582,80.409594,"34,3,1",2,
6.045532,80.408861,"1,5,2",3,
6.0455571,80.406255,"5,6",4,
6.045532,80.407625,"4,3",5,
6.04655,80.405734,"7,4",6,
6.047529,80.405097,"6,8,9",7,
6.047586,80.40475,"10,9,7",8,
6.047778,80.404943,"7,8,35",9,
6.048527,80.403437,"8,38",10,
6.049851,80.400387,"37,38",11,
6.051694,80.399113,"13,37",12,
6.052538,80.399306,"14,12",13,
6.053287,80.399113,"13,15",14,
6.054066,80.398936,"16,17,14",15,
6.054671,80.398759,"39,15",16,
6.054285,80.399191,"15,18",17,
6.054515,80.402028,"17,19,20",18,
6.05439,80.40254,"18,20,26",19,
6.054189,80.402182,"18,19,21",20,
6.052548,80.402983,"20,22",21,
6.052711,80.405773,"23,24,21",22,
6.052913,80.406052,"22,24,25",23,
6.05274,80.406207,"23,22,36",24,
6.054419,80.405782,"23,26",25,
6.053805,80.403775,"19,25",26,
6.052951,80.407268,"36,28",27,
6.052615,80.407268,"36,27,29",28,
6.051185,80.406429,"30,28",29,
6.048987,80.404885,"29,31,35",30,
6.048891,80.405155,"30,32,35",31,
6.0494,80.406641,"31,33",32,
6.049947,80.410144,"32,34",33,
6.047879,80.410463,"33,2",34,
6.048588,80.405026,"30,31,9",35,
6.052773,80.407022,"24,27,28",36,
6.050838,80.399537,"12,11",37,
6.049362,80.400939,"11,10",38,
6.057206,80.397449,"40,16",39,
6.057497,80.396695,"41,39",40,
6.058627,80.394833,"42,40",41,
6.0611586,80.393649,"41,63",42,
6.041751,80.406404,"0,47",43,
6.057376,70.391922,64,44,
6.051615,80.392738,49,45,
6.048607,80.396128,"53,56",46,
6.043405,80.400189,43,47,
6.053074,80.388063,"64,49,50",48,
6.052763,80.388187,"50,48,45,65",49,
6.052577,80.387875,"48,49,51",50,
6.048187,80.38935,"50,52,66",51,
6.047725,80.389046,"51,66",52,
6.047245,80.390074,"46,66,54,56",53,
6.046641,80.39002,"55,53,66,46",54,
6.040625,80.389305,"54,60",55,
6.044606,80.393853,"53,57,71",56,
6.041095,80.398137,"56,58,59",57,
6.041006,80.398396,"57,59",58,
6.040773,80.398353,"58,57,61,60",59,
6.040197,80.398274,"55,59,61",60,
6.040605,80.398918,"59,60,43",61,
6.059389,80.390154,"63,64",62,
6.059238,80.390636,"42,64",63,
6.0588774,80.39051,"62,63,48,44",64,
6.055278,80.393038,49,65,
6.047396,80.389636,"51,52,53,54",66,
6.054065,80.411207,"27,68,69",67,
6.054292,80.411403,"67,69,70",68,
6.054237,80.411505,"67,68",69,
6.057373,80.410722,68,70,
6.046853,80.391729,56,71,
