Lat,Lon,Con,
6.04415,80.409845,1,0
6.045168,80.409382,"2,3",1
6.04582,80.409594,"34,3,1",2
6.045532,80.408861,"1,5,2",3
6.0455571,80.406255,"5,6",4
6.045532,80.407625,"4,3",5
6.04655,80.405734,"7,4",6
6.047529,80.405097,"6,8,9",7
6.047586,80.40475,"10,9,7",8
6.047778,80.404943,"7,8,35",9
6.048527,80.403437,11,10
6.049851,80.400387,"12,10",11
6.051694,80.399113,"13,11",12
6.052538,80.399306,"14,12",13
6.053287,80.399113,"15,13",14
6.054093,80.39892,"16,14,17",15
6.054688,80.398785,"15,17",16
6.054285,80.399191,"15,16,18",17
6.054515,80.402028,"17,19,20",18
6.05439,80.40254,"18,20,26",19
6.054189,80.402182,"18,19,21",20
6.052548,80.402983,"20,22",21
6.052711,80.405773,"23,24,21",22
6.052913,80.406052,"22,24,25",23
6.05274,80.406207,"23,22,36",24
6.054419,80.405782,"23,26",25
6.053805,80.403775,"19,25",26
6.052951,80.407268,"36,28",27
6.052615,80.407268,"36,27,29",28
6.051185,80.406429,"30,28",29
6.048987,80.404885,"29,31,35",30
6.048891,80.405155,"30,32,35",31
6.0494,80.406641,"31,33",32
6.049947,80.410144,"32,34",33
6.047879,80.410463,"33,2",34
6.048588,80.405026,"30,31,9",35
6.052773,80.407022,"24,27,28",36
